,pathway,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
10,HALLMARK_NOTCH_SIGNALING,-1.145388104117906e-05,-6.901565386207599e-06,-6.933698835634959e-06,-7.135554564842959e-06,-3.972199953874295e-06,2.102768628535305e-06,-3.861533145359426e-06,-7.146665612738079e-07,-3.118900778171542e-06,-7.868927767417863e-06,-2.503918640869157e-05,-5.323497085667553e-06,-1.220321673243291e-07,-5.289325604659022e-06,-7.690591756809653e-06,-3.867849783152112e-06,1.9405341440904746e-06,-2.8991218608050845e-06,-1.6852443991316511e-06,8.455586796001814e-05,2.853786902261811e-06,-3.0250220934742184e-06,-7.742181116724301e-07,-4.9225647235505605e-06,2.7617601430596043e-05,6.196314358804592e-06,-5.116279829568693e-06,-9.98584726023073e-07,-2.7269211609012335e-06,-4.6245130378450103e-07,-2.20673881622677e-06,2.6620960528306835e-07,-1.3166749421973049e-06,-4.862443690752225e-07,4.4195044470029675e-07
11,HALLMARK_ADIPOGENESIS,0.00011833753772097153,-4.094847065594376e-08,1.53322188059489e-05,-8.18375652587508e-06,-6.129185295030738e-06,-2.505645554830814e-06,-2.4731976283453444e-06,-3.6234677636897555e-05,3.951228698615035e-05,-2.0469336234930913e-05,-1.3729678964981978e-05,-1.1036401279135646e-05,-2.787140794616172e-06,1.3862857646670598e-06,-1.147240843477667e-05,-1.7944883591450647e-06,-1.7829112719588026e-06,-3.5944270164217813e-06,-7.116447127893675e-07,-1.6008994514976962e-05,-8.87562754160829e-06,1.123142767303414e-06,-1.0388584036625766e-06,-3.9651978290177955e-06,3.922418733689169e-06,-2.436693043489542e-06,-2.1782488410062098e-05,1.9323149364377764e-06,-3.047761724645978e-06,-3.6518863386075665e-07,4.856570250164711e-07,8.862586883200238e-07,-9.503611844178736e-07,-1.114332982228328e-06,-3.098514669982403e-07
12,HALLMARK_ESTROGEN_RESPONSE_EARLY,7.378477637494385e-06,-2.881551900534539e-06,3.555451720319708e-06,-5.893362526524296e-06,-1.324729293598198e-06,4.135203174503426e-06,-2.005263208550677e-06,-2.5867342459302833e-05,2.5730939033049086e-06,-7.612474828170429e-06,1.0686792018915064e-05,1.2029810089048132e-06,2.917760191261786e-06,-6.579241847021189e-07,-1.0759957659693675e-06,8.141111260296686e-06,-8.964182599087087e-07,-5.656766414226938e-07,-6.120054063915754e-07,1.079634060840301e-05,1.660461646561806e-06,-9.128149722132436e-07,2.752817528995418e-08,-3.505241663958377e-06,-3.927071290102217e-06,1.5986740506827683e-05,-9.952899818659391e-06,2.937121841902076e-07,-2.051457089836343e-06,8.583810086711845e-08,8.678906092085504e-07,1.0742814137392051e-07,-6.987419905666844e-07,-3.2620519887168495e-07,3.914969611945845e-07
13,HALLMARK_ESTROGEN_RESPONSE_LATE,2.1338692366680567e-05,-3.2410598997945073e-06,1.847439450713799e-06,-3.1342135810323232e-06,-1.2728595317427344e-06,2.503667776693804e-06,-1.5448609238990357e-06,-3.0059818930668752e-05,3.4784194723296025e-06,-8.232022096011163e-06,4.04744865555029e-06,1.2750071444586966e-05,-2.2129211297472647e-06,2.6664178795227783e-06,-9.653327570418799e-07,6.598143405081233e-06,-6.370768414097009e-07,-1.3765964273311157e-07,-3.653814713503855e-07,4.39610622705866e-06,2.009586257665976e-06,4.452243494307024e-07,3.2535295443525316e-06,-3.483095215067473e-06,-4.347828779172926e-06,4.482088574974709e-06,-1.4041773510994199e-05,-5.236737788701486e-08,6.847056884646228e-07,-1.6386568194557988e-07,3.387262781030212e-06,-5.423684610607847e-08,-5.006129974803163e-07,8.543866141083514e-08,5.272305857306753e-07
14,HALLMARK_ANDROGEN_RESPONSE,1.7409571571225593e-05,-1.2654651276051282e-06,6.324348264618793e-06,1.4778770862748647e-06,-2.8126911145532132e-06,5.1745335831999105e-06,-5.5320373483058044e-08,-1.9067657003386806e-05,3.4349808467858123e-06,-4.963102154299098e-06,-3.0908863233106154e-06,-6.117374939438799e-06,2.924315082137533e-06,-7.93334663760914e-07,-9.150322324178936e-07,2.663695683292628e-06,7.138847561035094e-07,-1.232462565100255e-06,1.0072845427068055e-06,4.947907990722478e-07,-2.8710452950344266e-06,2.597197600808345e-06,1.892359113266225e-06,-2.5619750615509147e-06,-1.7593074152473867e-06,6.628369238342868e-06,-8.497047893761545e-06,1.0618995447320059e-07,6.986801359253753e-07,1.864816216303822e-07,1.2062782718939326e-06,1.2494094072187803e-07,-7.413087614345634e-07,1.6704204637126507e-06,3.2659466179515767e-08
15,HALLMARK_MYOGENESIS,-5.697173338101505e-06,-3.610197400701065e-06,-3.893061174003835e-06,-1.1770412325970599e-05,-3.4936029286586345e-06,-1.786948036999747e-06,4.246176818985085e-06,-4.530069906927281e-05,-1.6742657757001789e-06,-4.2323776778922795e-06,5.344754748535033e-05,-1.9243790889572968e-05,-2.1005247910804888e-06,-2.594669752226629e-06,1.5272596034024422e-07,1.0751826142641092e-06,-2.034646083854969e-06,-3.5131091653873604e-06,-1.4545260768458398e-06,4.7402870102053116e-05,1.1994985426621793e-05,2.8038320430283847e-05,5.3938975084874725e-06,-3.8981080232960465e-06,-6.831670202921483e-06,-4.901398999517317e-06,-2.4373272482496044e-05,5.665367103434803e-06,-1.5527214336607913e-06,-5.053273373508381e-07,2.1199385609113608e-07,-6.531197931615375e-07,-1.3869121697977337e-06,-8.38443137769014e-07,-1.762554032200774e-07
16,HALLMARK_PROTEIN_SECRETION,-6.453645027725691e-06,-2.4626691717708968e-06,-1.6218952927499197e-06,-8.882462431185345e-06,-3.791413795272737e-06,1.5073199251878881e-06,3.0544754519553144e-06,-2.9234649218893433e-05,2.0345680862184946e-05,-4.712391532279286e-06,-1.3143498016673222e-05,-1.569325645443126e-05,-9.856005745039788e-07,-3.7230249377712132e-06,6.742169469936554e-05,-2.094282970205655e-06,-1.9515676199376338e-06,3.9161466925197955e-05,1.3025503164864434e-05,-1.5013701405199031e-05,-4.514294254517621e-06,-6.823796800845775e-07,1.2712796594203588e-07,-1.551067447727334e-06,3.0012063839931005e-06,-1.0337235534839048e-05,-1.8031183031532588e-05,-1.2110768798707277e-06,-1.1357235369250165e-06,-9.97558764797321e-07,2.0795762860970676e-06,-3.238804492221997e-07,-1.1192304433746154e-06,-3.897550277878758e-07,3.9316709181490674e-07
17,HALLMARK_INTERFERON_ALPHA_RESPONSE,-9.135636572614458e-06,2.8459058386710173e-06,-1.9756059324287784e-06,-8.864035018320629e-07,-2.1238529965680528e-06,-1.7358455887475643e-06,-1.8559022507877963e-06,4.259690959987003e-05,-4.7381958460188806e-06,-1.6591850750806436e-05,-1.805517938387527e-05,7.245011233619758e-05,-5.138292739543127e-06,-4.050197041796308e-06,-8.27152394961006e-06,1.7843825207801423e-06,9.246559507841614e-07,-5.444865770041878e-06,6.231351862840502e-06,-1.4141360469616462e-05,-7.2582567205970415e-06,-2.4713942718889922e-06,-4.64159398269365e-07,-1.3312592798096767e-07,2.6489028625642855e-06,-6.066081307144061e-06,-1.1484556061237827e-05,-1.2891964344659366e-06,-2.6112483162547308e-06,-6.956696184293827e-07,-1.5543653103789173e-06,-3.964952328210612e-07,-5.496370151094688e-07,-1.2594329349300214e-07,-1.9925459333147266e-07
18,HALLMARK_INTERFERON_GAMMA_RESPONSE,-1.6622641432057633e-05,5.577630831687767e-06,-2.927254269454241e-06,-1.2661403527748291e-05,-9.231743796089126e-06,-4.046300918737148e-06,-6.6337640984527255e-06,4.600838911521937e-05,-1.125055810452958e-05,-2.2063579739569836e-05,-3.5922131942870555e-05,0.00018454626938598818,-1.0021933010197128e-05,-8.61415754326543e-06,-1.8987070210581963e-05,1.7666317313926386e-05,8.479022766364353e-07,-1.0875284136867714e-05,3.3756797871680854e-06,-2.8074309761171035e-05,-1.557066582023826e-05,-4.887929822435704e-06,-5.621839993986836e-07,1.4036209287095723e-06,9.20586773001282e-06,-1.155684816306693e-05,-3.0765688563569316e-05,-4.5954535693042186e-07,-3.120459057513042e-06,-1.1925794066425764e-06,1.1998273951776672e-06,-5.92925508370026e-07,-1.8806598481269868e-06,-8.775559045871861e-07,-2.293705192403441e-07
19,HALLMARK_APICAL_JUNCTION,-2.046554671757475e-05,-1.2848661213001218e-05,-5.76709021236476e-06,-1.4770103921464203e-05,-7.871148999041844e-07,-1.5159828367604378e-06,-4.765942185764628e-06,-6.142955569489461e-05,-8.128011349594483e-06,7.339158761970888e-05,-2.0314308199483738e-05,2.86477305919651e-06,4.2665501410890996e-07,-9.250121545214575e-06,-4.478750654973544e-06,-1.5060354596253302e-06,-2.797587981325433e-06,-6.95103430482704e-07,-2.5391824602106474e-06,-1.6786891620547764e-05,3.198734789177423e-05,4.831579830320517e-05,9.15989908212378e-05,4.990544952924655e-06,-8.117248012036449e-06,-1.6587779547214306e-05,-3.135848265677782e-05,-4.7427720726439526e-08,-4.202891964026102e-06,-2.0769254374181567e-07,-1.8930391578258435e-06,-9.573323711391268e-07,-2.1276335938884977e-06,-3.083217567767917e-07,1.2925740670707224e-06
